head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.009330000000000041e+03,1.591729999999999912e+01,9.601180000000000518e+02,1.676759999999999877e+02,7.742219999999999800e+02,1.672969999999999970e+02,7.124160000000000537e+02,4.337679999999999723e+02,7.061779999999999973e+02,7.060639999999999645e+02,1.145750000000000000e+03,1.738439999999999941e+02,1.189130000000000109e+03,4.461139999999999759e+02,1.214130000000000109e+03,6.876069999999999709e+02
1.009320000000000050e+03,1.591929999999999978e+01,9.601369999999999436e+02,1.677410000000000139e+02,7.742369999999999663e+02,1.674029999999999916e+02,7.124230000000000018e+02,4.337740000000000009e+02,7.061440000000000055e+02,7.059710000000000036e+02,1.145650000000000091e+03,1.738609999999999900e+02,1.195160000000000082e+03,4.522629999999999768e+02,1.214119999999999891e+03,6.876159999999999854e+02
1.009350000000000023e+03,1.591639999999999944e+01,9.601440000000000055e+02,1.677280000000000086e+02,7.742640000000000100e+02,1.674470000000000027e+02,7.124410000000000309e+02,4.338720000000000141e+02,7.061649999999999636e+02,7.001109999999999900e+02,1.145670000000000073e+03,1.738000000000000114e+02,1.195119999999999891e+03,4.462690000000000055e+02,1.214099999999999909e+03,6.876159999999999854e+02
1.009299999999999955e+03,1.591719999999999935e+01,9.601259999999999764e+02,1.677139999999999986e+02,7.742380000000000564e+02,1.673890000000000100e+02,7.124220000000000255e+02,4.337789999999999964e+02,7.061280000000000427e+02,7.060109999999999673e+02,1.145690000000000055e+03,1.738139999999999930e+02,1.189130000000000109e+03,4.463100000000000023e+02,1.214049999999999955e+03,6.875570000000000164e+02
1.009289999999999964e+03,1.591660000000000075e+01,9.601140000000000327e+02,1.676579999999999870e+02,7.742219999999999800e+02,1.673899999999999864e+02,7.123999999999999773e+02,4.277900000000000205e+02,7.061040000000000418e+02,7.061000000000000227e+02,1.145670000000000073e+03,1.737580000000000098e+02,1.195089999999999918e+03,4.462309999999999945e+02,1.214069999999999936e+03,6.816040000000000418e+02
1.009230000000000018e+03,1.591789999999999949e+01,9.600910000000000082e+02,1.676939999999999884e+02,7.742359999999999900e+02,1.673959999999999866e+02,7.123300000000000409e+02,4.277549999999999955e+02,7.061459999999999582e+02,7.060220000000000482e+02,1.145650000000000091e+03,1.737969999999999970e+02,1.189150000000000091e+03,4.462570000000000050e+02,1.214039999999999964e+03,6.815309999999999491e+02
1.009179999999999950e+03,1.591690000000000005e+01,9.600599999999999454e+02,1.677620000000000005e+02,7.741939999999999600e+02,1.674130000000000109e+02,7.123830000000000382e+02,4.278550000000000182e+02,7.060900000000000318e+02,7.060270000000000437e+02,1.145569999999999936e+03,1.738710000000000093e+02,1.195089999999999918e+03,4.522570000000000050e+02,1.213920000000000073e+03,6.815130000000000337e+02
1.009240000000000009e+03,1.591639999999999944e+01,9.601009999999999991e+02,1.677249999999999943e+02,7.742010000000000218e+02,1.673209999999999980e+02,7.123790000000000191e+02,4.337699999999999818e+02,7.060080000000000382e+02,7.061019999999999754e+02,1.145650000000000091e+03,1.738770000000000095e+02,1.195089999999999918e+03,4.462799999999999727e+02,1.213960000000000036e+03,6.815249999999999773e+02
1.003450000000000045e+03,1.591939999999999955e+01,9.600670000000000073e+02,1.677429999999999950e+02,7.741849999999999454e+02,1.673689999999999998e+02,7.123980000000000246e+02,4.278349999999999795e+02,7.060480000000000018e+02,7.061490000000000009e+02,1.145640000000000100e+03,1.738849999999999909e+02,1.189140000000000100e+03,4.461999999999999886e+02,1.213950000000000045e+03,6.815420000000000300e+02
1.009179999999999950e+03,1.591799999999999926e+01,9.600950000000000273e+02,1.677309999999999945e+02,7.742039999999999509e+02,1.673720000000000141e+02,7.123690000000000282e+02,4.337649999999999864e+02,7.000320000000000391e+02,7.061939999999999600e+02,1.145619999999999891e+03,1.738650000000000091e+02,1.188970000000000027e+03,4.462389999999999759e+02,1.213980000000000018e+03,6.815430000000000064e+02
