head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
9.723790000000000191e+02,1.585510000000000019e+01,9.601140000000000327e+02,1.738549999999999898e+02,7.741760000000000446e+02,1.740180000000000007e+02,6.753970000000000482e+02,4.089569999999999936e+02,7.554669999999999845e+02,5.205650000000000546e+02,1.145730000000000018e+03,1.736759999999999877e+02,1.226220000000000027e+03,3.905129999999999768e+02,1.195180000000000064e+03,4.217549999999999955e+02
9.724990000000000236e+02,1.586490000000000045e+01,9.602200000000000273e+02,1.738990000000000009e+02,7.742390000000000327e+02,1.740389999999999873e+02,6.754470000000000027e+02,4.149279999999999973e+02,7.615869999999999891e+02,5.207150000000000318e+02,1.151799999999999955e+03,1.736570000000000107e+02,1.232390000000000100e+03,3.782599999999999909e+02,1.201339999999999918e+03,4.214639999999999986e+02
9.724619999999999891e+02,1.586589999999999989e+01,9.660510000000000446e+02,1.738129999999999882e+02,7.744740000000000464e+02,1.740209999999999866e+02,6.813540000000000418e+02,4.091139999999999759e+02,7.616970000000000027e+02,5.206240000000000236e+02,1.151910000000000082e+03,1.678729999999999905e+02,1.244690000000000055e+03,3.782429999999999950e+02,1.195329999999999927e+03,4.215289999999999964e+02
9.725950000000000273e+02,1.586490000000000045e+01,9.662290000000000418e+02,1.737820000000000107e+02,7.745140000000000100e+02,1.739670000000000130e+02,6.815750000000000455e+02,4.090149999999999864e+02,7.617989999999999782e+02,5.206209999999999809e+02,1.157920000000000073e+03,1.735819999999999936e+02,1.250859999999999900e+03,3.904839999999999804e+02,1.201460000000000036e+03,4.214590000000000032e+02
9.726019999999999754e+02,1.587880000000000003e+01,9.665270000000000437e+02,1.737669999999999959e+02,7.867799999999999727e+02,1.739540000000000077e+02,6.999900000000000091e+02,4.029010000000000105e+02,7.619120000000000346e+02,5.204180000000000064e+02,1.158259999999999991e+03,1.678549999999999898e+02,1.257019999999999982e+03,3.782830000000000155e+02,1.213579999999999927e+03,4.213399999999999750e+02
9.847859999999999445e+02,1.586960000000000015e+01,9.725650000000000546e+02,1.737450000000000045e+02,7.991369999999999436e+02,1.739799999999999898e+02,7.062110000000000127e+02,4.091220000000000141e+02,7.680240000000000009e+02,5.204080000000000155e+02,1.164160000000000082e+03,1.678199999999999932e+02,1.257390000000000100e+03,3.782549999999999955e+02,1.219880000000000109e+03,4.214390000000000214e+02
9.848740000000000236e+02,1.588330000000000020e+01,9.847780000000000200e+02,1.736680000000000064e+02,8.052720000000000482e+02,1.738669999999999902e+02,7.123339999999999463e+02,4.091610000000000014e+02,7.682450000000000045e+02,5.204719999999999800e+02,1.164589999999999918e+03,1.678429999999999893e+02,1.269589999999999918e+03,3.966139999999999759e+02,1.226200000000000045e+03,4.214030000000000200e+02
1.009460000000000036e+03,1.589710000000000001e+01,1.003070000000000050e+03,1.737030000000000030e+02,8.113659999999999854e+02,1.737009999999999934e+02,7.124070000000000391e+02,4.149499999999999886e+02,7.683559999999999945e+02,5.145199999999999818e+02,1.182789999999999964e+03,1.736059999999999945e+02,1.288079999999999927e+03,4.150450000000000159e+02,1.238599999999999909e+03,4.215099999999999909e+02
1.009759999999999991e+03,1.587330000000000041e+01,1.009470000000000027e+03,1.679039999999999964e+02,8.174600000000000364e+02,1.736059999999999945e+02,7.183700000000000045e+02,4.091589999999999918e+02,7.867039999999999509e+02,5.145259999999999536e+02,1.201329999999999927e+03,1.678360000000000127e+02,1.300400000000000091e+03,3.844370000000000118e+02,1.257059999999999945e+03,4.215740000000000123e+02
1.021899999999999977e+03,1.588279999999999959e+01,1.015620000000000005e+03,1.677239999999999895e+02,8.178469999999999800e+02,1.678830000000000098e+02,7.187430000000000518e+02,4.088709999999999809e+02,7.929619999999999891e+02,5.143849999999999909e+02,1.207619999999999891e+03,1.677259999999999991e+02,1.306660000000000082e+03,4.028690000000000282e+02,1.263490000000000009e+03,4.215199999999999818e+02
