head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.015950000000000045e+03,1.586500000000000021e+01,9.970270000000000437e+02,1.552899999999999920e+02,8.053509999999999991e+02,1.429089999999999918e+02,6.939020000000000437e+02,4.090869999999999891e+02,8.606770000000000209e+02,4.710360000000000014e+02,1.176660000000000082e+03,1.614319999999999879e+02,1.263430000000000064e+03,4.153539999999999850e+02,1.188960000000000036e+03,4.462529999999999859e+02
1.021799999999999955e+03,1.587330000000000041e+01,9.972169999999999845e+02,1.612510000000000048e+02,8.053490000000000464e+02,1.489509999999999934e+02,6.998740000000000236e+02,4.149409999999999741e+02,8.607259999999999991e+02,4.710070000000000050e+02,1.182809999999999945e+03,1.673199999999999932e+02,1.263569999999999936e+03,4.213369999999999891e+02,1.195099999999999909e+03,4.462730000000000246e+02
1.021889999999999986e+03,1.587739999999999974e+01,1.003110000000000014e+03,1.612160000000000082e+02,8.112110000000000127e+02,1.429939999999999998e+02,6.999479999999999791e+02,4.091619999999999777e+02,8.607290000000000418e+02,4.709769999999999754e+02,1.182940000000000055e+03,1.615130000000000052e+02,1.263680000000000064e+03,4.154100000000000250e+02,1.195279999999999973e+03,4.523519999999999754e+02
1.028200000000000045e+03,1.590249999999999986e+01,9.971499999999999773e+02,1.553129999999999882e+02,8.111570000000000391e+02,1.490000000000000000e+02,7.000410000000000537e+02,4.090099999999999909e+02,8.607129999999999654e+02,4.710009999999999764e+02,1.182759999999999991e+03,1.613029999999999973e+02,1.263660000000000082e+03,4.153039999999999736e+02,1.195180000000000064e+03,4.524250000000000114e+02
1.028059999999999945e+03,1.589010000000000034e+01,1.003120000000000005e+03,1.553199999999999932e+02,8.112670000000000528e+02,1.490680000000000121e+02,7.060049999999999955e+02,4.089350000000000023e+02,8.606589999999999918e+02,4.710720000000000027e+02,1.182960000000000036e+03,1.612359999999999900e+02,1.263650000000000091e+03,4.154580000000000268e+02,1.189079999999999927e+03,4.523519999999999754e+02
1.034289999999999964e+03,1.589370000000000083e+01,1.003340000000000032e+03,1.612560000000000002e+02,8.113719999999999573e+02,1.490430000000000064e+02,7.061960000000000264e+02,4.089490000000000123e+02,8.606710000000000491e+02,4.710600000000000023e+02,1.189069999999999936e+03,1.614960000000000093e+02,1.269700000000000045e+03,4.212730000000000246e+02,1.195130000000000109e+03,4.462810000000000059e+02
1.028210000000000036e+03,1.586660000000000004e+01,1.003399999999999977e+03,1.552330000000000041e+02,8.114959999999999809e+02,1.429670000000000130e+02,7.062960000000000491e+02,4.029519999999999982e+02,8.606749999999999545e+02,4.709920000000000186e+02,1.189109999999999900e+03,1.612160000000000082e+02,1.275789999999999964e+03,4.153899999999999864e+02,1.201210000000000036e+03,4.522370000000000232e+02
1.034329999999999927e+03,1.588199999999999967e+01,1.009230000000000018e+03,1.551560000000000059e+02,8.115170000000000528e+02,1.428269999999999982e+02,7.062619999999999436e+02,4.027269999999999754e+02,8.607559999999999718e+02,4.710040000000000191e+02,1.201259999999999991e+03,1.612319999999999993e+02,1.275779999999999973e+03,4.212250000000000227e+02,1.201289999999999964e+03,4.461360000000000241e+02
1.040500000000000000e+03,1.588349999999999973e+01,1.009240000000000009e+03,1.552359999999999900e+02,8.115109999999999673e+02,1.429490000000000123e+02,7.121259999999999764e+02,4.088740000000000236e+02,8.608279999999999745e+02,4.710339999999999918e+02,1.195269999999999982e+03,1.613509999999999991e+02,1.275779999999999973e+03,4.214449999999999932e+02,1.195240000000000009e+03,4.462819999999999823e+02
1.034279999999999973e+03,1.587579999999999991e+01,1.009490000000000009e+03,1.552330000000000041e+02,8.115800000000000409e+02,1.490029999999999859e+02,7.122119999999999891e+02,4.088790000000000191e+02,8.609660000000000082e+02,4.711349999999999909e+02,1.201490000000000009e+03,1.612419999999999902e+02,1.281900000000000091e+03,4.212629999999999768e+02,1.201259999999999991e+03,4.462210000000000036e+02
1.046549999999999955e+03,1.590450000000000053e+01,1.009519999999999982e+03,1.491419999999999959e+02,8.174070000000000391e+02,1.428499999999999943e+02,7.122720000000000482e+02,4.088609999999999900e+02,8.610420000000000300e+02,4.711279999999999859e+02,1.201450000000000045e+03,1.552340000000000089e+02,1.281970000000000027e+03,4.152839999999999918e+02,1.201230000000000018e+03,4.523009999999999877e+02
1.040539999999999964e+03,1.589860000000000007e+01,1.009529999999999973e+03,1.491109999999999900e+02,8.174139999999999873e+02,1.367700000000000102e+02,7.122770000000000437e+02,4.028059999999999832e+02,8.610879999999999654e+02,4.711709999999999923e+02,1.201480000000000018e+03,1.553180000000000121e+02,1.281980000000000018e+03,4.153199999999999932e+02,1.195279999999999973e+03,4.523829999999999814e+02
1.052710000000000036e+03,1.589300000000000068e+01,1.009590000000000032e+03,1.490960000000000036e+02,8.175000000000000000e+02,1.367319999999999993e+02,7.122340000000000373e+02,4.089420000000000073e+02,8.611440000000000055e+02,4.710899999999999750e+02,1.207279999999999973e+03,1.611980000000000075e+02,1.288119999999999891e+03,4.153720000000000141e+02,1.201460000000000036e+03,4.523589999999999804e+02
1.028240000000000009e+03,1.589899999999999913e+01,1.009600000000000023e+03,1.489799999999999898e+02,8.174930000000000518e+02,1.366889999999999930e+02,7.121240000000000236e+02,4.088799999999999955e+02,8.610240000000000009e+02,4.711320000000000050e+02,1.201500000000000000e+03,1.551879999999999882e+02,1.294210000000000036e+03,4.150640000000000214e+02,1.207299999999999955e+03,4.523679999999999950e+02
1.028049999999999955e+03,1.590310000000000024e+01,1.009629999999999995e+03,1.490769999999999982e+02,8.174969999999999573e+02,1.366349999999999909e+02,7.121109999999999900e+02,3.967880000000000109e+02,8.609869999999999663e+02,4.712010000000000218e+02,1.207359999999999900e+03,1.612340000000000089e+02,1.294380000000000109e+03,4.153580000000000041e+02,1.201289999999999964e+03,4.524820000000000277e+02
1.028160000000000082e+03,1.590249999999999986e+01,1.009769999999999982e+03,1.490140000000000100e+02,8.175810000000000173e+02,1.307340000000000089e+02,7.121589999999999918e+02,3.966709999999999923e+02,8.609030000000000200e+02,4.712400000000000091e+02,1.207450000000000045e+03,1.612750000000000057e+02,1.294309999999999945e+03,4.152660000000000196e+02,1.201400000000000091e+03,4.524479999999999791e+02
1.040500000000000000e+03,1.589780000000000015e+01,1.009769999999999982e+03,1.429790000000000134e+02,8.176660000000000537e+02,1.307270000000000039e+02,7.121109999999999900e+02,3.966209999999999809e+02,8.609710000000000036e+02,4.711949999999999932e+02,1.207450000000000045e+03,1.552990000000000066e+02,1.294240000000000009e+03,4.152950000000000159e+02,1.201380000000000109e+03,4.583870000000000005e+02
1.028099999999999909e+03,1.590600000000000058e+01,1.015450000000000045e+03,1.429540000000000077e+02,8.177450000000000045e+02,1.365819999999999936e+02,7.121620000000000346e+02,3.966949999999999932e+02,8.609890000000000327e+02,4.712370000000000232e+02,1.207480000000000018e+03,1.552969999999999970e+02,1.294150000000000091e+03,4.152730000000000246e+02,1.201400000000000091e+03,4.524739999999999895e+02
1.059099999999999909e+03,1.589959999999999951e+01,1.015509999999999991e+03,1.489660000000000082e+02,8.177359999999999900e+02,1.366769999999999925e+02,7.122019999999999982e+02,3.905339999999999918e+02,8.610259999999999536e+02,4.712320000000000277e+02,1.207539999999999964e+03,1.611959999999999980e+02,1.294240000000000009e+03,4.153159999999999741e+02,1.201349999999999909e+03,4.583489999999999895e+02
1.077690000000000055e+03,1.589569999999999972e+01,1.015529999999999973e+03,1.429240000000000066e+02,8.177690000000000055e+02,1.366229999999999905e+02,7.121770000000000209e+02,3.965960000000000036e+02,8.611200000000000045e+02,4.712450000000000045e+02,1.207490000000000009e+03,1.553379999999999939e+02,1.294269999999999982e+03,4.151840000000000259e+02,1.201329999999999927e+03,4.583890000000000100e+02
1.071420000000000073e+03,1.589860000000000007e+01,1.015460000000000036e+03,1.428410000000000082e+02,8.177590000000000146e+02,1.306769999999999925e+02,7.122559999999999718e+02,4.027239999999999895e+02,8.670339999999999918e+02,4.713029999999999973e+02,1.207420000000000073e+03,1.552719999999999914e+02,1.294359999999999900e+03,4.152169999999999845e+02,1.201359999999999900e+03,4.583369999999999891e+02
1.077690000000000055e+03,1.590249999999999986e+01,1.015529999999999973e+03,1.428739999999999952e+02,8.178039999999999736e+02,1.306059999999999945e+02,7.121889999999999645e+02,3.967839999999999918e+02,8.670829999999999700e+02,4.770899999999999750e+02,1.207609999999999900e+03,1.612390000000000043e+02,1.294339999999999918e+03,4.152200000000000273e+02,1.201250000000000000e+03,4.584580000000000268e+02
1.102220000000000027e+03,1.591150000000000020e+01,1.015480000000000018e+03,1.429619999999999891e+02,8.178170000000000073e+02,1.306599999999999966e+02,7.121760000000000446e+02,4.027570000000000050e+02,8.670180000000000291e+02,4.770939999999999941e+02,1.207569999999999936e+03,1.612820000000000107e+02,1.287990000000000009e+03,4.154139999999999873e+02,1.201190000000000055e+03,4.584940000000000282e+02
1.089980000000000018e+03,1.590460000000000029e+01,1.015480000000000018e+03,1.489610000000000127e+02,8.177839999999999918e+02,1.306469999999999914e+02,7.122859999999999445e+02,3.967599999999999909e+02,8.669619999999999891e+02,4.771019999999999754e+02,1.207549999999999955e+03,1.613280000000000030e+02,1.288059999999999945e+03,4.212400000000000091e+02,1.201339999999999918e+03,4.585260000000000105e+02
1.102269999999999982e+03,1.591350000000000087e+01,1.015440000000000055e+03,1.489550000000000125e+02,8.177980000000000018e+02,1.306399999999999864e+02,7.121749999999999545e+02,4.028489999999999895e+02,8.670299999999999727e+02,4.771120000000000232e+02,1.207460000000000036e+03,1.613220000000000027e+02,1.282019999999999982e+03,4.212520000000000095e+02,1.201299999999999955e+03,4.585550000000000068e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.015460000000000036e+03,1.490260000000000105e+02,8.178010000000000446e+02,1.307270000000000039e+02,7.122089999999999463e+02,3.967649999999999864e+02,8.670130000000000337e+02,4.770769999999999982e+02,1.207430000000000064e+03,1.613940000000000055e+02,1.294109999999999900e+03,4.154700000000000273e+02,1.201359999999999900e+03,4.585110000000000241e+02
1.114650000000000091e+03,1.591269999999999918e+01,1.015480000000000018e+03,1.490389999999999873e+02,8.178640000000000327e+02,1.306779999999999973e+02,7.121760000000000446e+02,4.027749999999999773e+02,8.670869999999999891e+02,4.770500000000000114e+02,1.207430000000000064e+03,1.614919999999999902e+02,1.288170000000000073e+03,4.212029999999999745e+02,1.201359999999999900e+03,4.585360000000000014e+02
1.114660000000000082e+03,1.591150000000000020e+01,1.015529999999999973e+03,1.429000000000000057e+02,8.237169999999999845e+02,1.306210000000000093e+02,7.120639999999999645e+02,4.027230000000000132e+02,8.670510000000000446e+02,4.713349999999999795e+02,1.207410000000000082e+03,1.612620000000000005e+02,1.294259999999999991e+03,4.154259999999999877e+02,1.201490000000000009e+03,4.585849999999999795e+02
