head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.015649999999999977e+03,1.587129999999999974e+01,9.909420000000000073e+02,1.739960000000000093e+02,8.052839999999999918e+02,1.736239999999999952e+02,7.061090000000000373e+02,4.153450000000000273e+02,7.804210000000000491e+02,5.573709999999999809e+02,1.170539999999999964e+03,1.799919999999999902e+02,1.263369999999999891e+03,4.277640000000000100e+02,1.207779999999999973e+03,4.461730000000000018e+02
1.015879999999999995e+03,1.586050000000000004e+01,9.908909999999999627e+02,1.738959999999999866e+02,8.053099999999999454e+02,1.678350000000000080e+02,7.061140000000000327e+02,4.153670000000000186e+02,7.804149999999999636e+02,5.515130000000000337e+02,1.170509999999999991e+03,1.741759999999999877e+02,1.263299999999999955e+03,4.278249999999999886e+02,1.207769999999999982e+03,4.461739999999999782e+02
1.015639999999999986e+03,1.586379999999999946e+01,9.908319999999999936e+02,1.738710000000000093e+02,8.052859999999999445e+02,1.678679999999999950e+02,7.062640000000000100e+02,4.212280000000000086e+02,7.804829999999999472e+02,5.574260000000000446e+02,1.170430000000000064e+03,1.741009999999999991e+02,1.263180000000000064e+03,4.275919999999999845e+02,1.207759999999999991e+03,4.522470000000000141e+02
1.015679999999999950e+03,1.586919999999999931e+01,9.908990000000000009e+02,1.738830000000000098e+02,8.053440000000000509e+02,1.678959999999999866e+02,7.061240000000000236e+02,4.153890000000000100e+02,7.805639999999999645e+02,5.574249999999999545e+02,1.170470000000000027e+03,1.740749999999999886e+02,1.263250000000000000e+03,4.275799999999999841e+02,1.207700000000000045e+03,4.522429999999999950e+02
1.015659999999999968e+03,1.586679999999999957e+01,9.908559999999999945e+02,1.738679999999999950e+02,8.053479999999999563e+02,1.678410000000000082e+02,7.061119999999999663e+02,4.153199999999999932e+02,7.806290000000000191e+02,5.573830000000000382e+02,1.170460000000000036e+03,1.741459999999999866e+02,1.263250000000000000e+03,4.277149999999999750e+02,1.207809999999999945e+03,4.522420000000000186e+02
1.015789999999999964e+03,1.586170000000000080e+01,9.909199999999999591e+02,1.738590000000000089e+02,8.053419999999999845e+02,1.678420000000000130e+02,7.060470000000000255e+02,4.153399999999999750e+02,7.866169999999999618e+02,5.573830000000000382e+02,1.170509999999999991e+03,1.740840000000000032e+02,1.263269999999999982e+03,4.275169999999999959e+02,1.207779999999999973e+03,4.462900000000000205e+02
1.015769999999999982e+03,1.587119999999999997e+01,9.910230000000000246e+02,1.738930000000000007e+02,8.053360000000000127e+02,1.677690000000000055e+02,7.060320000000000391e+02,4.151619999999999777e+02,7.866090000000000373e+02,5.575109999999999673e+02,1.170660000000000082e+03,1.799209999999999923e+02,1.263339999999999918e+03,4.216610000000000014e+02,1.213549999999999955e+03,4.522420000000000186e+02
1.015759999999999991e+03,1.586430000000000007e+01,9.910190000000000055e+02,1.739089999999999918e+02,8.052640000000000100e+02,1.677829999999999870e+02,7.059980000000000473e+02,4.152149999999999750e+02,7.866509999999999536e+02,5.575529999999999973e+02,1.176609999999999900e+03,1.799350000000000023e+02,1.263230000000000018e+03,4.217090000000000032e+02,1.207839999999999918e+03,4.463140000000000214e+02
1.015750000000000000e+03,1.586720000000000041e+01,9.910460000000000491e+02,1.738669999999999902e+02,8.053039999999999736e+02,1.677539999999999907e+02,7.059660000000000082e+02,4.153310000000000173e+02,7.806079999999999472e+02,5.515069999999999482e+02,1.170710000000000036e+03,1.741630000000000109e+02,1.263319999999999936e+03,4.275710000000000264e+02,1.213670000000000073e+03,4.461739999999999782e+02
1.015820000000000050e+03,1.585870000000000068e+01,9.969719999999999800e+02,1.738410000000000082e+02,8.052830000000000155e+02,1.677179999999999893e+02,7.060159999999999627e+02,4.151840000000000259e+02,7.806440000000000055e+02,5.514130000000000109e+02,1.176690000000000055e+03,1.799019999999999868e+02,1.263349999999999909e+03,4.216000000000000227e+02,1.213599999999999909e+03,4.462710000000000150e+02
