head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.003330000000000041e+03,2.791449999999999818e+02,9.970460000000000491e+02,3.655020000000000095e+02,8.178220000000000027e+02,3.593799999999999955e+02,6.442530000000000427e+02,5.453189999999999600e+02,4.278100000000000023e+02,7.556559999999999491e+02,1.158230000000000018e+03,3.654750000000000227e+02,1.362220000000000027e+03,5.269239999999999782e+02,1.554400000000000091e+03,7.432580000000000382e+02
1.003200000000000045e+03,2.852579999999999814e+02,9.970430000000000064e+02,3.654490000000000123e+02,8.178210000000000264e+02,3.593759999999999764e+02,6.442889999999999873e+02,5.453179999999999836e+02,4.278090000000000259e+02,7.556670000000000300e+02,1.158259999999999991e+03,3.654089999999999918e+02,1.362309999999999945e+03,5.327799999999999727e+02,1.554400000000000091e+03,7.432599999999999909e+02
1.003159999999999968e+03,2.853539999999999850e+02,9.970410000000000537e+02,3.654279999999999973e+02,8.178070000000000164e+02,3.593439999999999941e+02,6.442999999999999545e+02,5.453379999999999654e+02,4.277950000000000159e+02,7.556870000000000118e+02,1.158289999999999964e+03,3.654159999999999968e+02,1.362319999999999936e+03,5.327839999999999918e+02,1.554380000000000109e+03,7.432939999999999827e+02
9.972290000000000418e+02,2.913670000000000186e+02,9.970779999999999745e+02,3.654590000000000032e+02,8.178319999999999936e+02,3.593290000000000077e+02,6.442939999999999827e+02,5.453200000000000500e+02,4.278100000000000023e+02,7.556789999999999736e+02,1.158289999999999964e+03,3.654759999999999991e+02,1.362269999999999982e+03,5.269059999999999491e+02,1.554369999999999891e+03,7.433060000000000400e+02
1.003320000000000050e+03,2.667719999999999914e+02,9.970979999999999563e+02,3.654560000000000173e+02,8.178579999999999472e+02,3.593550000000000182e+02,6.442759999999999536e+02,5.453129999999999882e+02,4.278249999999999886e+02,7.556810000000000400e+02,1.158259999999999991e+03,3.654449999999999932e+02,1.362299999999999955e+03,5.269239999999999782e+02,1.554339999999999918e+03,7.432830000000000155e+02
1.003419999999999959e+03,2.543079999999999927e+02,9.971499999999999773e+02,3.654080000000000155e+02,8.179230000000000018e+02,3.534329999999999927e+02,6.443319999999999936e+02,5.452119999999999891e+02,4.278179999999999836e+02,7.556760000000000446e+02,1.158279999999999973e+03,3.654769999999999754e+02,1.362220000000000027e+03,5.269059999999999491e+02,1.554359999999999900e+03,7.432999999999999545e+02
1.003370000000000005e+03,2.729979999999999905e+02,9.971209999999999809e+02,3.653990000000000009e+02,8.179700000000000273e+02,3.533840000000000146e+02,6.443369999999999891e+02,5.451760000000000446e+02,4.277959999999999923e+02,7.556839999999999691e+02,1.158200000000000045e+03,3.655110000000000241e+02,1.362130000000000109e+03,5.268360000000000127e+02,1.554359999999999900e+03,7.432580000000000382e+02
1.003440000000000055e+03,3.100710000000000264e+02,9.970800000000000409e+02,3.654759999999999991e+02,8.178690000000000282e+02,3.593090000000000259e+02,6.442870000000000346e+02,5.451979999999999791e+02,4.277730000000000246e+02,7.556889999999999645e+02,1.158269999999999982e+03,3.655670000000000073e+02,1.362220000000000027e+03,5.327599999999999909e+02,1.554339999999999918e+03,7.432419999999999618e+02
1.003269999999999982e+03,2.976530000000000200e+02,9.970990000000000464e+02,3.654560000000000173e+02,8.179360000000000355e+02,3.534150000000000205e+02,6.442699999999999818e+02,5.451589999999999918e+02,4.277559999999999718e+02,7.556979999999999791e+02,1.158250000000000000e+03,3.655849999999999795e+02,1.362119999999999891e+03,5.269370000000000118e+02,1.554329999999999927e+03,7.433099999999999454e+02
1.003299999999999955e+03,2.975400000000000205e+02,9.971589999999999918e+02,3.654839999999999804e+02,8.179199999999999591e+02,3.592989999999999782e+02,6.442350000000000136e+02,5.452329999999999472e+02,4.277309999999999945e+02,7.557079999999999700e+02,1.158259999999999991e+03,3.655749999999999886e+02,1.362130000000000109e+03,5.327889999999999873e+02,1.554309999999999945e+03,7.372699999999999818e+02
