head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
7.433509999999999991e+02,3.348419999999999845e+02,8.423369999999999891e+02,4.216759999999999877e+02,6.692780000000000200e+02,4.337789999999999964e+02,6.627989999999999782e+02,6.690220000000000482e+02,6.380420000000000300e+02,7.617259999999999991e+02,1.015500000000000000e+03,4.214060000000000059e+02,1.059279999999999973e+03,6.688659999999999854e+02,9.969869999999999663e+02,7.680850000000000364e+02
7.556140000000000327e+02,3.471159999999999854e+02,8.363029999999999973e+02,4.217250000000000227e+02,6.692160000000000082e+02,4.338879999999999768e+02,6.628360000000000127e+02,6.691870000000000118e+02,6.319479999999999791e+02,7.558250000000000455e+02,1.009720000000000027e+03,4.214200000000000159e+02,1.059190000000000055e+03,6.690370000000000346e+02,9.909600000000000364e+02,7.681660000000000537e+02
7.555259999999999536e+02,3.410790000000000077e+02,8.363039999999999736e+02,4.217300000000000182e+02,6.692590000000000146e+02,4.399710000000000036e+02,6.628319999999999936e+02,6.691159999999999854e+02,6.259270000000000209e+02,7.617409999999999854e+02,1.009720000000000027e+03,4.213949999999999818e+02,1.059279999999999973e+03,6.689450000000000500e+02,9.909619999999999891e+02,7.681420000000000528e+02
7.556150000000000091e+02,3.348260000000000218e+02,8.362960000000000491e+02,4.216669999999999732e+02,6.692530000000000427e+02,4.339069999999999823e+02,6.627809999999999491e+02,6.691150000000000091e+02,6.318590000000000373e+02,7.618630000000000564e+02,1.009720000000000027e+03,4.213509999999999991e+02,1.064970000000000027e+03,6.689990000000000236e+02,9.908509999999999991e+02,7.681359999999999673e+02
7.555059999999999718e+02,3.349010000000000105e+02,8.363129999999999882e+02,4.217810000000000059e+02,6.692820000000000391e+02,4.400520000000000209e+02,6.628070000000000164e+02,6.753179999999999836e+02,6.256559999999999491e+02,7.678809999999999718e+02,1.009720000000000027e+03,4.213969999999999914e+02,1.059319999999999936e+03,6.689679999999999609e+02,9.909059999999999491e+02,7.681169999999999618e+02
7.556649999999999636e+02,3.348969999999999914e+02,8.362050000000000409e+02,4.217389999999999759e+02,6.692250000000000227e+02,4.400020000000000095e+02,6.628669999999999618e+02,6.753139999999999645e+02,6.257279999999999518e+02,7.681059999999999945e+02,1.009710000000000036e+03,4.213720000000000141e+02,1.059240000000000009e+03,6.690729999999999791e+02,9.848740000000000236e+02,7.681440000000000055e+02
7.557999999999999545e+02,3.409660000000000082e+02,8.422599999999999909e+02,4.217860000000000014e+02,6.692830000000000155e+02,4.400559999999999832e+02,6.627899999999999636e+02,6.752690000000000055e+02,6.197749999999999773e+02,7.681920000000000073e+02,1.009730000000000018e+03,4.214169999999999732e+02,1.059210000000000036e+03,6.691140000000000327e+02,9.909220000000000255e+02,7.681449999999999818e+02
7.617730000000000246e+02,3.349250000000000114e+02,8.422910000000000537e+02,4.275099999999999909e+02,6.692870000000000346e+02,4.400989999999999895e+02,6.627319999999999709e+02,6.752720000000000482e+02,6.195420000000000300e+02,7.683170000000000073e+02,1.009700000000000045e+03,4.214300000000000068e+02,1.059190000000000055e+03,6.690270000000000437e+02,9.909539999999999509e+02,7.681290000000000191e+02
7.616889999999999645e+02,3.534239999999999782e+02,8.423289999999999509e+02,4.217490000000000236e+02,6.692740000000000009e+02,4.339660000000000082e+02,6.627350000000000136e+02,6.691609999999999445e+02,6.196050000000000182e+02,7.682169999999999845e+02,1.009759999999999991e+03,4.214379999999999882e+02,1.059170000000000073e+03,6.689779999999999518e+02,9.909880000000000564e+02,7.681779999999999973e+02
7.556620000000000346e+02,3.409060000000000059e+02,8.422799999999999727e+02,4.217130000000000223e+02,6.692079999999999700e+02,4.339479999999999791e+02,6.627590000000000146e+02,6.691920000000000073e+02,6.198099999999999454e+02,7.682799999999999727e+02,1.009750000000000000e+03,4.214180000000000064e+02,1.059210000000000036e+03,6.689640000000000555e+02,9.910410000000000537e+02,7.682019999999999982e+02
7.556079999999999472e+02,3.409329999999999927e+02,8.423630000000000564e+02,4.216970000000000027e+02,6.692899999999999636e+02,4.339689999999999941e+02,6.626950000000000500e+02,6.689750000000000227e+02,6.198700000000000045e+02,7.681670000000000300e+02,1.009710000000000036e+03,4.213790000000000191e+02,1.059150000000000091e+03,6.688390000000000555e+02,9.910009999999999764e+02,7.681390000000000100e+02
7.555729999999999791e+02,3.409519999999999982e+02,8.422789999999999964e+02,4.217869999999999777e+02,6.692279999999999518e+02,4.401030000000000086e+02,6.627359999999999900e+02,6.689919999999999618e+02,6.256739999999999782e+02,7.681960000000000264e+02,1.009710000000000036e+03,4.213969999999999914e+02,1.059180000000000064e+03,6.689089999999999918e+02,9.908920000000000528e+02,7.681989999999999554e+02
7.557050000000000409e+02,3.409499999999999886e+02,8.422770000000000437e+02,4.217189999999999941e+02,6.692469999999999573e+02,4.399049999999999727e+02,6.627050000000000409e+02,6.689869999999999663e+02,6.257210000000000036e+02,7.681499999999999773e+02,1.009720000000000027e+03,4.213790000000000191e+02,1.059109999999999900e+03,6.688730000000000473e+02,9.910149999999999864e+02,7.681760000000000446e+02
7.496180000000000518e+02,3.288199999999999932e+02,8.422839999999999918e+02,4.216630000000000109e+02,6.692720000000000482e+02,4.339139999999999873e+02,6.627140000000000555e+02,6.689850000000000136e+02,6.198070000000000164e+02,7.681599999999999682e+02,1.009700000000000045e+03,4.213550000000000182e+02,1.059119999999999891e+03,6.630629999999999882e+02,9.910370000000000346e+02,7.681779999999999973e+02
7.496259999999999764e+02,3.409119999999999777e+02,8.422659999999999627e+02,4.217019999999999982e+02,6.692319999999999709e+02,4.339169999999999732e+02,6.627140000000000555e+02,6.689049999999999727e+02,6.198189999999999600e+02,7.683429999999999609e+02,1.009740000000000009e+03,4.213960000000000150e+02,1.059049999999999955e+03,6.630589999999999691e+02,9.970230000000000246e+02,7.682019999999999982e+02
7.555449999999999591e+02,3.409110000000000014e+02,8.362500000000000000e+02,4.217520000000000095e+02,6.691860000000000355e+02,4.399399999999999977e+02,6.627290000000000418e+02,6.689690000000000509e+02,6.198350000000000364e+02,7.683099999999999454e+02,1.009730000000000018e+03,4.213999999999999773e+02,1.059049999999999955e+03,6.688659999999999854e+02,9.971140000000000327e+02,7.682559999999999718e+02
7.556699999999999591e+02,3.348879999999999768e+02,8.362709999999999582e+02,4.275369999999999777e+02,6.692359999999999900e+02,4.400690000000000168e+02,6.627210000000000036e+02,6.689070000000000391e+02,6.256359999999999673e+02,7.683500000000000227e+02,1.009720000000000027e+03,4.214180000000000064e+02,1.059079999999999927e+03,6.630910000000000082e+02,9.971240000000000236e+02,7.682960000000000491e+02
