head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
7.617119999999999891e+02,2.481150000000000091e+02,7.743020000000000209e+02,4.149340000000000259e+02,6.134779999999999518e+02,4.337200000000000273e+02,5.639460000000000264e+02,6.628600000000000136e+02,5.205289999999999964e+02,7.555919999999999845e+02,9.538239999999999554e+02,3.717769999999999868e+02,1.040490000000000009e+03,5.268120000000000118e+02,1.059200000000000045e+03,7.249500000000000455e+02
7.617540000000000191e+02,2.542750000000000057e+02,7.742690000000000055e+02,4.149780000000000086e+02,6.134210000000000491e+02,4.337509999999999764e+02,5.639120000000000346e+02,6.628390000000000555e+02,5.204980000000000473e+02,7.555510000000000446e+02,9.538269999999999982e+02,3.718029999999999973e+02,1.034359999999999900e+03,5.267949999999999591e+02,1.059220000000000027e+03,7.247060000000000173e+02
7.617770000000000437e+02,2.420190000000000055e+02,7.742450000000000045e+02,4.149139999999999873e+02,6.134439999999999600e+02,4.277980000000000018e+02,5.638830000000000382e+02,6.628020000000000209e+02,5.204779999999999518e+02,7.554919999999999618e+02,9.537440000000000282e+02,3.717909999999999968e+02,1.028109999999999900e+03,5.267069999999999936e+02,1.058789999999999964e+03,7.123440000000000509e+02
7.616820000000000164e+02,2.419629999999999939e+02,7.742240000000000464e+02,4.150690000000000168e+02,6.133750000000000000e+02,4.337610000000000241e+02,5.638379999999999654e+02,6.627910000000000537e+02,5.204370000000000118e+02,7.555159999999999627e+02,9.537780000000000200e+02,3.719870000000000232e+02,1.022139999999999986e+03,5.269089999999999918e+02,1.058740000000000009e+03,7.123070000000000164e+02
7.678540000000000418e+02,2.604839999999999804e+02,7.742110000000000127e+02,4.149180000000000064e+02,6.133899999999999864e+02,4.278000000000000114e+02,5.637699999999999818e+02,6.627659999999999627e+02,5.203949999999999818e+02,7.555399999999999636e+02,9.537809999999999491e+02,3.718679999999999950e+02,1.021950000000000045e+03,5.453300000000000409e+02,1.046750000000000000e+03,7.124969999999999573e+02
7.619039999999999964e+02,2.664130000000000109e+02,7.684349999999999454e+02,4.149230000000000018e+02,6.132839999999999918e+02,4.276949999999999932e+02,5.637269999999999754e+02,6.625829999999999700e+02,5.203279999999999745e+02,7.496059999999999945e+02,9.537100000000000364e+02,3.719689999999999941e+02,1.016080000000000041e+03,5.575339999999999918e+02,1.028160000000000082e+03,7.184800000000000182e+02
7.621029999999999518e+02,2.665579999999999927e+02,7.683909999999999627e+02,4.149180000000000064e+02,6.132119999999999891e+02,4.276399999999999864e+02,5.636520000000000437e+02,6.567509999999999764e+02,5.203039999999999736e+02,7.493830000000000382e+02,9.536420000000000528e+02,3.720079999999999814e+02,1.015909999999999968e+03,5.636100000000000136e+02,1.028210000000000036e+03,7.186810000000000400e+02
7.683070000000000164e+02,2.418580000000000041e+02,7.683390000000000555e+02,4.090020000000000095e+02,6.132509999999999764e+02,4.216820000000000164e+02,5.635199999999999818e+02,6.565890000000000555e+02,5.202409999999999854e+02,7.493899999999999864e+02,9.477179999999999609e+02,3.718969999999999914e+02,1.015860000000000014e+03,5.638909999999999627e+02,1.015950000000000045e+03,7.186509999999999536e+02
7.741900000000000546e+02,2.357969999999999970e+02,7.683469999999999800e+02,4.089680000000000177e+02,6.131539999999999964e+02,4.215609999999999786e+02,5.577409999999999854e+02,6.564629999999999654e+02,5.202269999999999754e+02,7.433730000000000473e+02,9.536570000000000391e+02,3.719239999999999782e+02,1.015799999999999955e+03,5.947029999999999745e+02,9.660960000000000036e+02,7.557140000000000555e+02
7.682789999999999964e+02,2.356719999999999970e+02,7.683550000000000182e+02,4.089619999999999891e+02,6.131829999999999927e+02,4.214429999999999836e+02,5.576369999999999436e+02,6.564270000000000209e+02,5.202240000000000464e+02,7.433590000000000373e+02,9.535910000000000082e+02,3.719540000000000077e+02,1.009480000000000018e+03,5.699099999999999682e+02,1.009509999999999991e+03,7.248279999999999745e+02
7.866009999999999991e+02,2.481970000000000027e+02,7.683519999999999754e+02,4.090710000000000264e+02,6.132369999999999663e+02,4.214519999999999982e+02,5.575610000000000355e+02,6.504059999999999491e+02,5.145190000000000055e+02,7.434109999999999445e+02,9.535940000000000509e+02,3.721779999999999973e+02,1.009529999999999973e+03,6.071760000000000446e+02,9.601100000000000136e+02,7.619880000000000564e+02
7.744890000000000327e+02,2.541889999999999930e+02,7.682920000000000300e+02,4.089649999999999750e+02,6.132369999999999663e+02,4.213039999999999736e+02,5.575289999999999964e+02,6.442559999999999718e+02,5.145209999999999582e+02,7.433369999999999891e+02,9.476770000000000209e+02,3.721890000000000214e+02,1.009600000000000023e+03,6.132770000000000437e+02,9.599619999999999891e+02,7.619210000000000491e+02
7.989410000000000309e+02,2.543679999999999950e+02,7.681900000000000546e+02,4.089479999999999791e+02,6.131730000000000018e+02,4.212740000000000009e+02,5.574610000000000127e+02,6.382060000000000173e+02,5.145529999999999973e+02,7.433089999999999691e+02,9.475220000000000482e+02,3.722429999999999950e+02,1.009750000000000000e+03,6.195720000000000027e+02,9.228830000000000382e+02,7.680560000000000400e+02
8.112930000000000064e+02,2.665520000000000209e+02,7.683099999999999454e+02,4.090380000000000109e+02,6.132140000000000555e+02,4.213500000000000227e+02,5.574139999999999873e+02,6.382369999999999663e+02,5.145339999999999918e+02,7.432649999999999864e+02,9.477079999999999700e+02,3.780029999999999859e+02,1.015490000000000009e+03,6.132050000000000409e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.174109999999999445e+02,2.726960000000000264e+02,7.682029999999999745e+02,4.089499999999999886e+02,6.132279999999999518e+02,4.213149999999999977e+02,5.573759999999999764e+02,6.441849999999999454e+02,5.144750000000000227e+02,7.432329999999999472e+02,9.414479999999999791e+02,3.721949999999999932e+02,1.009519999999999982e+03,6.134610000000000127e+02,9.476150000000000091e+02,7.620009999999999764e+02
8.176570000000000391e+02,3.099049999999999727e+02,7.682140000000000555e+02,4.088629999999999995e+02,6.132690000000000055e+02,4.212860000000000014e+02,5.574239999999999782e+02,6.444089999999999918e+02,5.144439999999999600e+02,7.372559999999999718e+02,9.415270000000000437e+02,3.721829999999999927e+02,1.009610000000000014e+03,6.256699999999999591e+02,9.166670000000000300e+02,7.620560000000000400e+02
