head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
8.670660000000000309e+02,1.587800000000000011e+01,9.475900000000000318e+02,1.119350000000000023e+02,7.684039999999999964e+02,1.241730000000000018e+02,7.742140000000000555e+02,3.780219999999999914e+02,8.423869999999999436e+02,6.071939999999999600e+02,1.114880000000000109e+03,9.954989999999999384e+01,1.127170000000000073e+03,3.656879999999999882e+02,1.120829999999999927e+03,6.133229999999999791e+02
8.363160000000000309e+02,1.586749999999999972e+01,9.475130000000000337e+02,1.120450000000000017e+02,7.684149999999999636e+02,1.242180000000000035e+02,7.683990000000000009e+02,3.780470000000000255e+02,8.361259999999999764e+02,6.071340000000000146e+02,1.114829999999999927e+03,9.957450000000000045e+01,1.139400000000000091e+03,3.718570000000000277e+02,1.121029999999999973e+03,6.132980000000000018e+02
8.425030000000000427e+02,1.588199999999999967e+01,9.414539999999999509e+02,1.177669999999999959e+02,7.683110000000000355e+02,1.242510000000000048e+02,7.681670000000000300e+02,3.965840000000000032e+02,8.238909999999999627e+02,6.010389999999999873e+02,1.114740000000000009e+03,9.942709999999999582e+01,1.139480000000000018e+03,3.657040000000000077e+02,1.121190000000000055e+03,6.132319999999999709e+02
8.423099999999999454e+02,1.587700000000000067e+01,9.474560000000000173e+02,1.177669999999999959e+02,7.683799999999999955e+02,1.242480000000000047e+02,7.678909999999999627e+02,4.027509999999999764e+02,8.178450000000000273e+02,6.010460000000000491e+02,1.114769999999999982e+03,9.342090000000000316e+01,1.151640000000000100e+03,3.658249999999999886e+02,1.139410000000000082e+03,6.070839999999999463e+02
9.104460000000000264e+02,1.589320000000000022e+01,9.476710000000000491e+02,1.177950000000000017e+02,7.683650000000000091e+02,1.242099999999999937e+02,7.619859999999999900e+02,3.967219999999999800e+02,8.114270000000000209e+02,5.948559999999999945e+02,1.115019999999999982e+03,9.965370000000000061e+01,1.158210000000000036e+03,3.717710000000000150e+02,1.151650000000000091e+03,6.069919999999999618e+02
8.857609999999999673e+02,1.590179999999999971e+01,9.475620000000000118e+02,1.178649999999999949e+02,7.682809999999999491e+02,1.243799999999999955e+02,7.555190000000000055e+02,4.151399999999999864e+02,7.990220000000000482e+02,5.885599999999999454e+02,1.114980000000000018e+03,9.953140000000000498e+01,1.164230000000000018e+03,3.717660000000000196e+02,1.157740000000000009e+03,6.010270000000000437e+02
9.599310000000000400e+02,1.589959999999999951e+01,9.536019999999999754e+02,1.179260000000000019e+02,7.682530000000000427e+02,1.243810000000000002e+02,7.432920000000000300e+02,4.212250000000000227e+02,7.743279999999999745e+02,5.762459999999999809e+02,1.115079999999999927e+03,9.958240000000000691e+01,1.170720000000000027e+03,3.720489999999999782e+02,1.158339999999999918e+03,6.008170000000000073e+02
9.598350000000000364e+02,1.590070000000000050e+01,9.476789999999999736e+02,1.180280000000000058e+02,7.682190000000000509e+02,1.245100000000000051e+02,7.308690000000000282e+02,4.214320000000000164e+02,7.621559999999999491e+02,5.885660000000000309e+02,1.115019999999999982e+03,1.056099999999999994e+02,1.189019999999999982e+03,3.721449999999999818e+02,1.164309999999999945e+03,6.069039999999999964e+02
9.537999999999999545e+02,1.590220000000000056e+01,9.535480000000000018e+02,1.182489999999999952e+02,7.681720000000000255e+02,1.246269999999999953e+02,7.247859999999999445e+02,4.216050000000000182e+02,7.620639999999999645e+02,5.884829999999999472e+02,1.114990000000000009e+03,1.058190000000000026e+02,1.201200000000000045e+03,3.842620000000000005e+02,1.164599999999999909e+03,6.071490000000000009e+02
9.661140000000000327e+02,1.589540000000000042e+01,9.536349999999999909e+02,1.181599999999999966e+02,7.682300000000000182e+02,1.304010000000000105e+02,7.247100000000000364e+02,4.216469999999999914e+02,7.617759999999999536e+02,6.072450000000000045e+02,1.115029999999999973e+03,1.056640000000000015e+02,1.201390000000000100e+03,3.904060000000000059e+02,1.176619999999999891e+03,6.130380000000000109e+02
