head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
9.785330000000000155e+02,1.586849999999999916e+01,9.602749999999999773e+02,1.675720000000000027e+02,7.680320000000000391e+02,1.614650000000000034e+02,6.629470000000000027e+02,4.647839999999999918e+02,6.877459999999999809e+02,4.339470000000000027e+02,1.158220000000000027e+03,1.736339999999999861e+02,1.207410000000000082e+03,4.585819999999999936e+02,1.256970000000000027e+03,4.088720000000000141e+02
9.786689999999999827e+02,1.586100000000000065e+01,9.602480000000000473e+02,1.675649999999999977e+02,7.680410000000000537e+02,1.615149999999999864e+02,6.690679999999999836e+02,4.647889999999999873e+02,6.938730000000000473e+02,4.277819999999999823e+02,1.158150000000000091e+03,1.735939999999999941e+02,1.201500000000000000e+03,4.585779999999999745e+02,1.256799999999999955e+03,4.090810000000000173e+02
9.785839999999999463e+02,1.585670000000000002e+01,9.601789999999999736e+02,1.675809999999999889e+02,7.679400000000000546e+02,1.614840000000000089e+02,6.691539999999999964e+02,4.707789999999999964e+02,6.937619999999999436e+02,4.217599999999999909e+02,1.158170000000000073e+03,1.736020000000000039e+02,1.207279999999999973e+03,4.586209999999999809e+02,1.250960000000000036e+03,4.150249999999999773e+02
9.784990000000000236e+02,1.585749999999999993e+01,9.601480000000000246e+02,1.675560000000000116e+02,7.679719999999999800e+02,1.614389999999999930e+02,6.692140000000000555e+02,4.649820000000000277e+02,6.876209999999999809e+02,4.276460000000000150e+02,1.158099999999999909e+03,1.736169999999999902e+02,1.201279999999999973e+03,4.585199999999999818e+02,1.250839999999999918e+03,4.151809999999999832e+02
9.908609999999999900e+02,1.587349999999999994e+01,9.602590000000000146e+02,1.675910000000000082e+02,7.680430000000000064e+02,1.615320000000000107e+02,6.691009999999999991e+02,4.647370000000000232e+02,6.876349999999999909e+02,4.216549999999999727e+02,1.158160000000000082e+03,1.735900000000000034e+02,1.201210000000000036e+03,4.523860000000000241e+02,1.244859999999999900e+03,4.213159999999999741e+02
9.785979999999999563e+02,1.586170000000000080e+01,9.601609999999999445e+02,1.676599999999999966e+02,7.679529999999999745e+02,1.615310000000000059e+02,6.627649999999999864e+02,4.647339999999999804e+02,6.937830000000000155e+02,4.276809999999999832e+02,1.158140000000000100e+03,1.736850000000000023e+02,1.201279999999999973e+03,4.584990000000000236e+02,1.250839999999999918e+03,4.213439999999999941e+02
9.847880000000000109e+02,1.586410000000000053e+01,9.601710000000000491e+02,1.675879999999999939e+02,7.679930000000000518e+02,1.614139999999999873e+02,6.567740000000000009e+02,4.524510000000000218e+02,6.938559999999999945e+02,4.461000000000000227e+02,1.158069999999999936e+03,1.736769999999999925e+02,1.201329999999999927e+03,4.583589999999999804e+02,1.250980000000000018e+03,4.153779999999999859e+02
9.908479999999999563e+02,1.586870000000000047e+01,9.601240000000000236e+02,1.676599999999999966e+02,7.679400000000000546e+02,1.614639999999999986e+02,6.627680000000000291e+02,4.400059999999999718e+02,6.876829999999999927e+02,4.583450000000000273e+02,1.158059999999999945e+03,1.736910000000000025e+02,1.207359999999999900e+03,4.584200000000000159e+02,1.257009999999999991e+03,4.028910000000000196e+02
9.847229999999999563e+02,1.586580000000000013e+01,9.601649999999999636e+02,1.675149999999999864e+02,7.680180000000000291e+02,1.614019999999999868e+02,6.504990000000000236e+02,4.401059999999999945e+02,6.876330000000000382e+02,4.583890000000000100e+02,1.158029999999999973e+03,1.678799999999999955e+02,1.207269999999999982e+03,4.523450000000000273e+02,1.257009999999999991e+03,3.905830000000000268e+02
9.725869999999999891e+02,1.586369999999999969e+01,9.601330000000000382e+02,1.676440000000000055e+02,7.679230000000000018e+02,1.672969999999999970e+02,6.564980000000000473e+02,4.523650000000000091e+02,6.876649999999999636e+02,4.583349999999999795e+02,1.158009999999999991e+03,1.736220000000000141e+02,1.207319999999999936e+03,4.585509999999999877e+02,1.251000000000000000e+03,3.966859999999999786e+02
