head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
9.414210000000000491e+02,6.832930000000000348e+01,9.041509999999999536e+02,2.170620000000000118e+02,7.618690000000000282e+02,2.108880000000000052e+02,6.132039999999999509e+02,3.658879999999999768e+02,6.688060000000000400e+02,5.451920000000000073e+02,1.034319999999999936e+03,2.173810000000000002e+02,1.102170000000000073e+03,3.781589999999999918e+02,1.114799999999999955e+03,5.204629999999999654e+02
9.477110000000000127e+02,6.876760000000000161e+01,9.041549999999999727e+02,2.169519999999999982e+02,7.618830000000000382e+02,2.108240000000000123e+02,6.131219999999999573e+02,3.659719999999999800e+02,6.688579999999999472e+02,5.451860000000000355e+02,1.034309999999999945e+03,2.172079999999999984e+02,1.108420000000000073e+03,3.722219999999999800e+02,1.120869999999999891e+03,5.207630000000000337e+02
9.291530000000000200e+02,6.843259999999999366e+01,9.102930000000000064e+02,2.172170000000000130e+02,7.679230000000000018e+02,2.168660000000000139e+02,6.134400000000000546e+02,3.657080000000000268e+02,6.689619999999999891e+02,5.451480000000000246e+02,1.046700000000000045e+03,2.174089999999999918e+02,1.114650000000000091e+03,3.782289999999999850e+02,1.139500000000000000e+03,5.267150000000000318e+02
9.537300000000000182e+02,5.621820000000000306e+01,9.102699999999999818e+02,2.172709999999999866e+02,7.680030000000000427e+02,2.110200000000000102e+02,6.192530000000000427e+02,3.658389999999999986e+02,6.689819999999999709e+02,5.327889999999999873e+02,1.046609999999999900e+03,2.233040000000000020e+02,1.108619999999999891e+03,3.718340000000000032e+02,1.133430000000000064e+03,5.207559999999999718e+02
9.723440000000000509e+02,6.242609999999999815e+01,9.228229999999999791e+02,2.171949999999999932e+02,7.744969999999999573e+02,2.109519999999999982e+02,6.255969999999999800e+02,3.659569999999999936e+02,6.754829999999999472e+02,5.452190000000000509e+02,1.065250000000000000e+03,2.233259999999999934e+02,1.121089999999999918e+03,3.842919999999999732e+02,1.151960000000000036e+03,5.328279999999999745e+02
9.786119999999999663e+02,6.872679999999999723e+01,9.352569999999999482e+02,2.168350000000000080e+02,7.928369999999999891e+02,2.107969999999999970e+02,6.381699999999999591e+02,3.658790000000000191e+02,6.754900000000000091e+02,5.329059999999999491e+02,1.071430000000000064e+03,2.170500000000000114e+02,1.121099999999999909e+03,3.782980000000000018e+02,1.152000000000000000e+03,5.329700000000000273e+02
9.726130000000000564e+02,8.090659999999999741e+01,9.475080000000000382e+02,2.168220000000000027e+02,8.052640000000000100e+02,2.046759999999999877e+02,6.566660000000000537e+02,3.656929999999999836e+02,6.937039999999999509e+02,5.328229999999999791e+02,1.071660000000000082e+03,2.172090000000000032e+02,1.151690000000000055e+03,3.722200000000000273e+02,1.158099999999999909e+03,5.329710000000000036e+02
9.909370000000000118e+02,6.241879999999999740e+01,9.597709999999999582e+02,2.108810000000000002e+02,8.113179999999999836e+02,1.924559999999999889e+02,6.628840000000000146e+02,3.655330000000000155e+02,6.999479999999999791e+02,5.268469999999999800e+02,1.108329999999999927e+03,2.170920000000000130e+02,1.158000000000000000e+03,3.842900000000000205e+02,1.164160000000000082e+03,5.328659999999999854e+02
9.970159999999999627e+02,6.842700000000000671e+01,9.601000000000000227e+02,2.168280000000000030e+02,8.173780000000000427e+02,1.986620000000000061e+02,6.688769999999999527e+02,3.654259999999999877e+02,7.059690000000000509e+02,5.267359999999999900e+02,1.108519999999999982e+03,2.171659999999999968e+02,1.164170000000000073e+03,3.721309999999999718e+02,1.176559999999999945e+03,5.208070000000000164e+02
1.003429999999999950e+03,7.496859999999999502e+01,9.660860000000000127e+02,2.168160000000000025e+02,8.177129999999999654e+02,2.107719999999999914e+02,6.692590000000000146e+02,3.654399999999999977e+02,7.062949999999999591e+02,5.265539999999999736e+02,1.108670000000000073e+03,2.170360000000000014e+02,1.170490000000000009e+03,3.659309999999999832e+02,1.189039999999999964e+03,5.204600000000000364e+02
1.009549999999999955e+03,6.218999999999999773e+01,9.724850000000000136e+02,2.108530000000000086e+02,8.237269999999999754e+02,1.986730000000000018e+02,6.754950000000000045e+02,3.595539999999999736e+02,7.123289999999999509e+02,5.266390000000000100e+02,1.120880000000000109e+03,2.168959999999999866e+02,1.176579999999999927e+03,3.718039999999999736e+02,1.195130000000000109e+03,5.203880000000000337e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.848329999999999700e+02,2.107500000000000000e+02,8.362350000000000136e+02,2.046440000000000055e+02,6.877300000000000182e+02,3.594479999999999791e+02,7.126169999999999618e+02,5.206169999999999618e+02,1.127109999999999900e+03,2.109639999999999986e+02,1.201410000000000082e+03,3.780169999999999959e+02,1.207420000000000073e+03,5.207100000000000364e+02
1.015860000000000014e+03,6.225189999999999912e+01,9.909180000000000064e+02,2.109960000000000093e+02,8.485470000000000255e+02,2.047369999999999948e+02,7.059579999999999700e+02,3.594750000000000227e+02,7.186059999999999945e+02,5.205249999999999773e+02,1.127150000000000091e+03,2.170699999999999932e+02,1.188970000000000027e+03,3.844470000000000027e+02,1.207380000000000109e+03,5.266779999999999973e+02
