head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
0.000000000000000000e+00,0.000000000000000000e+00,1.114509999999999991e+03,1.304459999999999980e+02,9.166920000000000073e+02,1.307330000000000041e+02,8.116699999999999591e+02,4.215740000000000123e+02,8.299729999999999563e+02,6.753859999999999673e+02,1.306619999999999891e+03,1.245379999999999967e+02,1.368529999999999973e+03,4.155099999999999909e+02,1.412009999999999991e+03,6.627640000000000100e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108819999999999936e+03,1.304370000000000118e+02,9.166159999999999854e+02,1.307309999999999945e+02,8.117000000000000455e+02,4.215470000000000255e+02,8.299569999999999936e+02,6.753940000000000055e+02,1.306539999999999964e+03,1.244860000000000042e+02,1.368529999999999973e+03,4.212099999999999795e+02,1.411930000000000064e+03,6.627670000000000528e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108809999999999945e+03,1.303890000000000100e+02,9.165670000000000073e+02,1.306839999999999975e+02,8.116390000000000100e+02,4.215640000000000214e+02,8.299239999999999782e+02,6.753700000000000045e+02,1.306549999999999955e+03,1.244699999999999989e+02,1.368440000000000055e+03,4.212909999999999968e+02,1.411920000000000073e+03,6.629719999999999800e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108750000000000000e+03,1.304650000000000034e+02,9.165149999999999864e+02,1.306959999999999980e+02,8.116190000000000282e+02,4.215830000000000268e+02,8.300080000000000382e+02,6.813590000000000373e+02,1.306529999999999973e+03,1.245649999999999977e+02,1.362700000000000045e+03,4.213149999999999977e+02,1.411880000000000109e+03,6.629089999999999918e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108690000000000055e+03,1.304610000000000127e+02,9.164529999999999745e+02,1.306630000000000109e+02,8.115259999999999536e+02,4.216490000000000009e+02,8.240130000000000337e+02,6.754790000000000418e+02,1.306430000000000064e+03,1.245949999999999989e+02,1.362640000000000100e+03,4.213809999999999718e+02,1.411859999999999900e+03,6.629249999999999545e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108630000000000109e+03,1.304749999999999943e+02,9.106839999999999691e+02,1.306670000000000016e+02,8.114539999999999509e+02,4.216890000000000214e+02,8.299049999999999727e+02,6.813590000000000373e+02,1.306349999999999909e+03,1.246009999999999991e+02,1.362589999999999918e+03,4.215059999999999718e+02,1.411759999999999991e+03,6.689600000000000364e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108579999999999927e+03,1.304219999999999970e+02,9.106799999999999500e+02,1.306899999999999977e+02,8.113160000000000309e+02,4.216390000000000100e+02,8.240289999999999964e+02,6.813559999999999945e+02,1.300559999999999945e+03,1.245060000000000002e+02,1.362569999999999936e+03,4.214950000000000045e+02,1.411609999999999900e+03,6.691739999999999782e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108490000000000009e+03,1.304310000000000116e+02,9.106159999999999854e+02,1.307410000000000139e+02,8.111349999999999909e+02,4.216580000000000155e+02,8.239640000000000555e+02,6.813980000000000246e+02,1.300460000000000036e+03,1.245180000000000007e+02,1.362529999999999973e+03,4.213929999999999723e+02,1.405960000000000036e+03,6.689510000000000218e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108509999999999991e+03,1.305560000000000116e+02,9.105510000000000446e+02,1.365900000000000034e+02,8.111589999999999918e+02,4.216209999999999809e+02,8.238419999999999845e+02,6.754180000000000064e+02,1.306329999999999927e+03,1.246290000000000049e+02,1.362559999999999945e+03,4.213589999999999804e+02,1.405900000000000091e+03,6.629410000000000309e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.108430000000000064e+03,1.305440000000000111e+02,9.105919999999999845e+02,1.306819999999999879e+02,8.110900000000000318e+02,4.217679999999999723e+02,8.238880000000000337e+02,6.754349999999999454e+02,1.300400000000000091e+03,1.246110000000000042e+02,1.362500000000000000e+03,4.212010000000000218e+02,1.405920000000000073e+03,6.626870000000000118e+02
