head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
9.166699999999999591e+02,1.589240000000000030e+01,9.414030000000000200e+02,1.737230000000000132e+02,7.682709999999999582e+02,1.924960000000000093e+02,7.123540000000000418e+02,4.524460000000000264e+02,7.060599999999999454e+02,6.626440000000000055e+02,1.108609999999999900e+03,1.615320000000000107e+02,1.201460000000000036e+03,4.338489999999999895e+02,1.164490000000000009e+03,6.503780000000000427e+02
9.166259999999999764e+02,1.587669999999999959e+01,9.413640000000000327e+02,1.736490000000000009e+02,7.683740000000000236e+02,1.923720000000000141e+02,7.122859999999999445e+02,4.522450000000000045e+02,7.060439999999999827e+02,6.626449999999999818e+02,1.108549999999999955e+03,1.614540000000000077e+02,1.201490000000000009e+03,4.339440000000000168e+02,1.164519999999999982e+03,6.504829999999999472e+02
9.166240000000000236e+02,1.588659999999999961e+01,9.413450000000000273e+02,1.737620000000000005e+02,7.682400000000000091e+02,1.986349999999999909e+02,7.122069999999999936e+02,4.524390000000000214e+02,7.060570000000000164e+02,6.626730000000000018e+02,1.108609999999999900e+03,1.615240000000000009e+02,1.207279999999999973e+03,4.399359999999999786e+02,1.164519999999999982e+03,6.503509999999999991e+02
9.166130000000000564e+02,1.589819999999999922e+01,9.413079999999999927e+02,1.738050000000000068e+02,7.681280000000000427e+02,2.046599999999999966e+02,7.121960000000000264e+02,4.583890000000000100e+02,7.060080000000000382e+02,6.627789999999999964e+02,1.108599999999999909e+03,1.615320000000000107e+02,1.207319999999999936e+03,4.399590000000000032e+02,1.164509999999999991e+03,6.505410000000000537e+02
9.164959999999999809e+02,1.591169999999999973e+01,9.351829999999999927e+02,1.738480000000000132e+02,7.680480000000000018e+02,1.985920000000000130e+02,7.121499999999999773e+02,4.585149999999999864e+02,7.060829999999999700e+02,6.628360000000000127e+02,1.108609999999999900e+03,1.673820000000000050e+02,1.207410000000000082e+03,4.399300000000000068e+02,1.164549999999999955e+03,6.564690000000000509e+02
9.165420000000000300e+02,1.591859999999999964e+01,9.352699999999999818e+02,1.738389999999999986e+02,7.681509999999999536e+02,1.925000000000000000e+02,7.122259999999999991e+02,4.585480000000000018e+02,7.060720000000000027e+02,6.628769999999999527e+02,1.108599999999999909e+03,1.674660000000000082e+02,1.207420000000000073e+03,4.337239999999999895e+02,1.170480000000000018e+03,6.442889999999999873e+02
9.104189999999999827e+02,1.592009999999999970e+01,9.352240000000000464e+02,1.737990000000000066e+02,7.679729999999999563e+02,1.924000000000000057e+02,7.121950000000000500e+02,4.584780000000000086e+02,7.060929999999999609e+02,6.627590000000000146e+02,1.108630000000000109e+03,1.674490000000000123e+02,1.207420000000000073e+03,4.339030000000000200e+02,1.164619999999999891e+03,6.504519999999999982e+02
9.106109999999999900e+02,1.591740000000000066e+01,9.413160000000000309e+02,1.738890000000000100e+02,7.681599999999999682e+02,1.984819999999999993e+02,7.121900000000000546e+02,4.524209999999999923e+02,7.062039999999999509e+02,6.627690000000000055e+02,1.108660000000000082e+03,1.675329999999999870e+02,1.207349999999999909e+03,4.399649999999999750e+02,1.170549999999999955e+03,6.504560000000000173e+02
9.105309999999999491e+02,1.592029999999999923e+01,9.413239999999999554e+02,1.740329999999999870e+02,7.682039999999999509e+02,2.046450000000000102e+02,7.122549999999999955e+02,4.583779999999999859e+02,7.062590000000000146e+02,6.628410000000000082e+02,1.108640000000000100e+03,1.676129999999999995e+02,1.207349999999999909e+03,4.399060000000000059e+02,1.170630000000000109e+03,6.442210000000000036e+02
9.105660000000000309e+02,1.591639999999999944e+01,9.413369999999999891e+02,1.739519999999999982e+02,7.680480000000000018e+02,1.984939999999999998e+02,7.122300000000000182e+02,4.523679999999999950e+02,7.120439999999999827e+02,6.627540000000000191e+02,1.108680000000000064e+03,1.675709999999999980e+02,1.207339999999999918e+03,4.399599999999999795e+02,1.176640000000000100e+03,6.381939999999999600e+02
9.105420000000000300e+02,1.591580000000000084e+01,9.415090000000000146e+02,1.737779999999999916e+02,7.683179999999999836e+02,1.922949999999999875e+02,7.122190000000000509e+02,4.522970000000000255e+02,7.120489999999999782e+02,6.626879999999999882e+02,1.108680000000000064e+03,1.674830000000000041e+02,1.207319999999999936e+03,4.339100000000000250e+02,1.176700000000000045e+03,6.380030000000000427e+02
9.105140000000000100e+02,1.591089999999999982e+01,9.414239999999999782e+02,1.737009999999999934e+02,7.681950000000000500e+02,1.861910000000000025e+02,7.122300000000000182e+02,4.522900000000000205e+02,7.121040000000000418e+02,6.627720000000000482e+02,1.108650000000000091e+03,1.674329999999999927e+02,1.207319999999999936e+03,4.277810000000000059e+02,1.176730000000000018e+03,6.380829999999999700e+02
9.104389999999999645e+02,1.590900000000000070e+01,9.413160000000000309e+02,1.738100000000000023e+02,7.680969999999999800e+02,1.923100000000000023e+02,7.122559999999999718e+02,4.583670000000000186e+02,7.121059999999999945e+02,6.627730000000000246e+02,1.108609999999999900e+03,1.674910000000000139e+02,1.207400000000000091e+03,4.337139999999999986e+02,1.176730000000000018e+03,6.380549999999999500e+02
9.104489999999999554e+02,1.591239999999999988e+01,9.413659999999999854e+02,1.738460000000000036e+02,7.681609999999999445e+02,1.925060000000000002e+02,7.122899999999999636e+02,4.583659999999999854e+02,7.121299999999999955e+02,6.627210000000000036e+02,1.108589999999999918e+03,1.674950000000000045e+02,1.207279999999999973e+03,4.337660000000000196e+02,1.176720000000000027e+03,6.381000000000000227e+02
9.103360000000000127e+02,1.591389999999999993e+01,9.353300000000000409e+02,1.738770000000000095e+02,7.679950000000000045e+02,1.924559999999999889e+02,7.122740000000000009e+02,4.584399999999999977e+02,7.121490000000000009e+02,6.626920000000000073e+02,1.108609999999999900e+03,1.675380000000000109e+02,1.207319999999999936e+03,4.338740000000000236e+02,1.176740000000000009e+03,6.381050000000000182e+02
9.103289999999999509e+02,1.591590000000000060e+01,9.413540000000000418e+02,1.738449999999999989e+02,7.680940000000000509e+02,1.923040000000000020e+02,7.122799999999999727e+02,4.584069999999999823e+02,7.121340000000000146e+02,6.627250000000000227e+02,1.108630000000000109e+03,1.675339999999999918e+02,1.207289999999999964e+03,4.337719999999999914e+02,1.176789999999999964e+03,6.380990000000000464e+02
9.103880000000000337e+02,1.591569999999999929e+01,9.413540000000000418e+02,1.738449999999999989e+02,7.681159999999999854e+02,1.923120000000000118e+02,7.122150000000000318e+02,4.584479999999999791e+02,7.121330000000000382e+02,6.627089999999999463e+02,1.108599999999999909e+03,1.675600000000000023e+02,1.207410000000000082e+03,4.338290000000000077e+02,1.176710000000000036e+03,6.380119999999999436e+02
9.103179999999999836e+02,1.591879999999999917e+01,9.414579999999999700e+02,1.737520000000000095e+02,7.681649999999999636e+02,1.861639999999999873e+02,7.123179999999999836e+02,4.583919999999999959e+02,7.121069999999999709e+02,6.627599999999999909e+02,1.108720000000000027e+03,1.674939999999999998e+02,1.207309999999999945e+03,4.339350000000000023e+02,1.176680000000000064e+03,6.380230000000000246e+02
9.042380000000000564e+02,1.592319999999999958e+01,9.413150000000000546e+02,1.737549999999999955e+02,7.681480000000000246e+02,1.862280000000000086e+02,7.122759999999999536e+02,4.585339999999999918e+02,7.121009999999999991e+02,6.627820000000000391e+02,1.108589999999999918e+03,1.674650000000000034e+02,1.207339999999999918e+03,4.399359999999999786e+02,1.176630000000000109e+03,6.320610000000000355e+02
9.104260000000000446e+02,1.592440000000000033e+01,9.413600000000000136e+02,1.737630000000000052e+02,7.682519999999999527e+02,1.862249999999999943e+02,7.122820000000000391e+02,4.585009999999999764e+02,7.121539999999999964e+02,6.627849999999999682e+02,1.108660000000000082e+03,1.674679999999999893e+02,1.207299999999999955e+03,4.399560000000000173e+02,1.176559999999999945e+03,6.380860000000000127e+02
9.106079999999999472e+02,1.591789999999999949e+01,9.413630000000000564e+02,1.736639999999999873e+02,7.681770000000000209e+02,1.861040000000000134e+02,7.122789999999999964e+02,4.583999999999999773e+02,7.121399999999999864e+02,6.628350000000000364e+02,1.108650000000000091e+03,1.673940000000000055e+02,1.207380000000000109e+03,4.461639999999999873e+02,1.170480000000000018e+03,6.503419999999999845e+02
