head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.003450000000000045e+03,1.182960000000000065e+02,1.003149999999999977e+03,3.592950000000000159e+02,8.177369999999999663e+02,3.592930000000000064e+02,7.616029999999999518e+02,6.010140000000000100e+02,7.187469999999999573e+02,7.682390000000000327e+02,1.164500000000000000e+03,3.593340000000000032e+02,1.213819999999999936e+03,6.130209999999999582e+02,1.238599999999999909e+03,7.621670000000000300e+02
1.003429999999999950e+03,1.183640000000000043e+02,1.003200000000000045e+03,3.534289999999999736e+02,8.178360000000000127e+02,3.532599999999999909e+02,7.615950000000000273e+02,6.008650000000000091e+02,7.187830000000000155e+02,7.681860000000000355e+02,1.164460000000000036e+03,3.594309999999999832e+02,1.213839999999999918e+03,6.130389999999999873e+02,1.238500000000000000e+03,7.621459999999999582e+02
1.009139999999999986e+03,1.182840000000000060e+02,1.003090000000000032e+03,3.593439999999999941e+02,8.176710000000000491e+02,3.593059999999999832e+02,7.615639999999999645e+02,6.009510000000000218e+02,7.188250000000000455e+02,7.681760000000000446e+02,1.164509999999999991e+03,3.594560000000000173e+02,1.213799999999999955e+03,6.130499999999999545e+02,1.238529999999999973e+03,7.621440000000000055e+02
1.009149999999999977e+03,1.182699999999999960e+02,1.003149999999999977e+03,3.592869999999999777e+02,8.177400000000000091e+02,3.533820000000000050e+02,7.615589999999999691e+02,6.008479999999999563e+02,7.187980000000000018e+02,7.682050000000000409e+02,1.164480000000000018e+03,3.594069999999999823e+02,1.213759999999999991e+03,6.130130000000000337e+02,1.238579999999999927e+03,7.620940000000000509e+02
1.009159999999999968e+03,1.182169999999999987e+02,1.003090000000000032e+03,3.593360000000000127e+02,8.177089999999999463e+02,3.593500000000000227e+02,7.615700000000000500e+02,6.008550000000000182e+02,7.187930000000000064e+02,7.682240000000000464e+02,1.164430000000000064e+03,3.594150000000000205e+02,1.213789999999999964e+03,6.072409999999999854e+02,1.238599999999999909e+03,7.621330000000000382e+02
1.003389999999999986e+03,1.182249999999999943e+02,1.003110000000000014e+03,3.533809999999999718e+02,8.177630000000000337e+02,3.533070000000000164e+02,7.615850000000000364e+02,6.008799999999999955e+02,7.187670000000000528e+02,7.682839999999999918e+02,1.164339999999999918e+03,3.593559999999999945e+02,1.213750000000000000e+03,6.071399999999999864e+02,1.238619999999999891e+03,7.621040000000000418e+02
1.009159999999999968e+03,1.182139999999999986e+02,1.003120000000000005e+03,3.533310000000000173e+02,8.177390000000000327e+02,3.472350000000000136e+02,7.615769999999999982e+02,5.948369999999999891e+02,7.187720000000000482e+02,7.682930000000000064e+02,1.164430000000000064e+03,3.593759999999999764e+02,1.213759999999999991e+03,6.072119999999999891e+02,1.238539999999999964e+03,7.620739999999999554e+02
1.009220000000000027e+03,1.182740000000000009e+02,1.003139999999999986e+03,3.532130000000000223e+02,8.177619999999999436e+02,3.470590000000000259e+02,7.616040000000000418e+02,5.946939999999999600e+02,7.187999999999999545e+02,7.682440000000000282e+02,1.164420000000000073e+03,3.593509999999999991e+02,1.213740000000000009e+03,6.072000000000000455e+02,1.238619999999999891e+03,7.620929999999999609e+02
1.009320000000000050e+03,1.183640000000000043e+02,1.003100000000000023e+03,3.532509999999999764e+02,8.177300000000000182e+02,3.470419999999999732e+02,7.615689999999999600e+02,5.886670000000000300e+02,7.187290000000000418e+02,7.683279999999999745e+02,1.164349999999999909e+03,3.594370000000000118e+02,1.213740000000000009e+03,6.072630000000000337e+02,1.238650000000000091e+03,7.621470000000000482e+02
1.009179999999999950e+03,1.183769999999999953e+02,1.003110000000000014e+03,3.532370000000000232e+02,8.177530000000000427e+02,3.470899999999999750e+02,7.615860000000000127e+02,5.885729999999999791e+02,7.187740000000000009e+02,7.682830000000000155e+02,1.164319999999999936e+03,3.593580000000000041e+02,1.213660000000000082e+03,6.071900000000000546e+02,1.238630000000000109e+03,7.621280000000000427e+02
