head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
1.802049999999999955e+03,1.491289999999999907e+02,1.740000000000000000e+03,2.791290000000000191e+02,1.628599999999999909e+03,2.729169999999999732e+02,1.548049999999999955e+03,4.584320000000000164e+02,1.603630000000000109e+03,6.135190000000000055e+02,1.845319999999999936e+03,2.975910000000000082e+02,1.863990000000000009e+03,4.648299999999999841e+02,1.900529999999999973e+03,6.135030000000000427e+02
1.826599999999999909e+03,1.552589999999999861e+02,1.739980000000000018e+03,2.790339999999999918e+02,1.628579999999999927e+03,2.728940000000000055e+02,1.547920000000000073e+03,4.585960000000000036e+02,1.603450000000000045e+03,6.193179999999999836e+02,1.845259999999999991e+03,2.914800000000000182e+02,1.863960000000000036e+03,4.648120000000000118e+02,1.894829999999999927e+03,6.192809999999999491e+02
1.807990000000000009e+03,1.491659999999999968e+02,1.739859999999999900e+03,2.790090000000000146e+02,1.622490000000000009e+03,2.729289999999999736e+02,1.547920000000000073e+03,4.586820000000000164e+02,1.597599999999999909e+03,6.136309999999999718e+02,1.845200000000000045e+03,2.914030000000000200e+02,1.863980000000000018e+03,4.646890000000000214e+02,1.900519999999999982e+03,6.136079999999999472e+02
1.801880000000000109e+03,1.551279999999999859e+02,1.727720000000000027e+03,2.791960000000000264e+02,1.616390000000000100e+03,2.731779999999999973e+02,1.541960000000000036e+03,4.644119999999999777e+02,1.597609999999999900e+03,6.193830000000000382e+02,1.845029999999999973e+03,2.914680000000000177e+02,1.863930000000000064e+03,4.647210000000000036e+02,1.894690000000000055e+03,6.134160000000000537e+02
1.814230000000000018e+03,1.489809999999999945e+02,1.721480000000000018e+03,2.792500000000000000e+02,1.616160000000000082e+03,2.732060000000000173e+02,1.547849999999999909e+03,4.645889999999999986e+02,1.591289999999999964e+03,6.194400000000000546e+02,1.838980000000000018e+03,2.975160000000000196e+02,1.857880000000000109e+03,4.647099999999999795e+02,1.894670000000000073e+03,6.133350000000000364e+02
1.808180000000000064e+03,1.551800000000000068e+02,1.715470000000000027e+03,2.852509999999999764e+02,1.610230000000000018e+03,2.790640000000000214e+02,1.541900000000000091e+03,4.645439999999999827e+02,1.591319999999999936e+03,6.193650000000000091e+02,1.832819999999999936e+03,2.975600000000000023e+02,1.857680000000000064e+03,4.648929999999999723e+02,1.888619999999999891e+03,6.132590000000000146e+02
1.820410000000000082e+03,1.429569999999999936e+02,1.715349999999999909e+03,2.732230000000000132e+02,1.610250000000000000e+03,2.729839999999999804e+02,1.535670000000000073e+03,4.586580000000000155e+02,1.591250000000000000e+03,6.193129999999999882e+02,1.820569999999999936e+03,2.792819999999999823e+02,1.857450000000000045e+03,4.649069999999999823e+02,1.888430000000000064e+03,6.132590000000000146e+02
1.808200000000000045e+03,1.490800000000000125e+02,1.715410000000000082e+03,2.731240000000000236e+02,1.610059999999999945e+03,2.727459999999999809e+02,1.523450000000000045e+03,4.644820000000000277e+02,1.585220000000000027e+03,6.192980000000000018e+02,1.832880000000000109e+03,2.852819999999999823e+02,1.857559999999999945e+03,4.712269999999999754e+02,1.882430000000000064e+03,6.134220000000000255e+02
1.795759999999999991e+03,1.429130000000000109e+02,1.709380000000000109e+03,2.789879999999999995e+02,1.609720000000000027e+03,2.729839999999999804e+02,1.523299999999999955e+03,4.584030000000000200e+02,1.579099999999999909e+03,6.192999999999999545e+02,1.826660000000000082e+03,2.852029999999999745e+02,1.857789999999999964e+03,4.648129999999999882e+02,1.876279999999999973e+03,6.133559999999999945e+02
1.795740000000000009e+03,1.367019999999999982e+02,1.709000000000000000e+03,2.732149999999999750e+02,1.603809999999999945e+03,2.729499999999999886e+02,1.511259999999999991e+03,4.645710000000000264e+02,1.579079999999999927e+03,6.193990000000000009e+02,1.814329999999999927e+03,2.790910000000000082e+02,1.857460000000000036e+03,4.524700000000000273e+02,1.876160000000000082e+03,6.131680000000000064e+02
